id,content,review,rating,sentiment
8134756,ngonnn lắmmmmm ạaaa,ngonnn lắmmmmm ạaaa,recommended,positive
6942082,Nước rất ngon,Nước rất ngon,recommended,positive
6928337,Nước ngon giá lại rẻ sẽ ủng hộ quán dài dài nè 😘😘😘,Nước ngon giá lại rẻ sẽ ủng hộ quán dài dài nè 😘😘😘,recommended,positive
6928213,Ngon lắm ạ,Ngon lắm ạ,recommended,positive
6777621,cảm ơn ạ,cảm ơn ạ,recommended,positive
8179437,"Bánh bao ngon, nhân nhiều","Bánh bao ngon, nhân nhiều",recommended,positive
8690985,"Quên chụp ảnh nhưng mà ngon, đáng tiền, khẩu phần ngang 35-40k ở các quán khác, ăn hơi cay nhưng đúng gu mình nên thích","Quên chụp ảnh nhưng mà ngon, đáng tiền, khẩu phần ngang 35-40k ở các quán khác, ăn hơi cay nhưng đúng gu mình nên thích",recommended,positive
8035686,Mạnh dạn oder đi mọi người ơi . Mình mua 10 lần ngon hết 10 lần .,Mạnh dạn oder đi mọi người ơi . Mình mua 10 lần ngon hết 10 lần .,recommended,positive
7946589,Rất ngon lun . Chủ dể tính nửa . Mình thích thêm xoài nên chị vẫn bỏ ko lấy tiền . I love you,Rất ngon lun . Chủ dễ tính nửa . Mình thích thêm xoài nên chị vẫn bỏ ko lấy tiền . I love you,recommended,positive
7124876,ngon xỉu ❤❤❤👍👍,ngon xỉu ❤❤❤👍👍,recommended,positive
6992501,Ok ngon ngon,Ok ngon ngon,recommended,positive
6907689,Nhiều loại hoa quả mà ngon nữa,Nhiều loại hoa quả mà ngon nữa,recommended,positive
8285960,Cơm ngon. 25k mà đc hộp cơm gà z là ngon lắm rùi,Cơm ngon. 25k mà đc hộp cơm gà z là ngon lắm rùi,recommended,positive
8252828,rất ngon ok lắm,rất ngon ok lắm,recommended,positive
8176053,"Ngon, cơm và đồ ăn nhiều lắm. Sẽ ủng hộ quán nhiều","Ngon, cơm và đồ ăn nhiều lắm. Sẽ ủng hộ quán nhiều",recommended,positive
8134963,thực sự là cơm của quán rất ngon mn ạ mn nên ăn nha rất đáng,thực sự là cơm của quán rất ngon mn ạ mn nên ăn nha rất đáng,recommended,positive
8079412,"ăn nhiều lần rồi , lần nào cũng ngon . Sẽ ủng hộ tiếp 💞","ăn nhiều lần rồi , lần nào cũng ngon . Sẽ ủng hộ tiếp 💞",recommended,positive
7941770,ngon bá cháy,ngon bá cháy,recommended,positive
7894531,cơm ngon ạ.,cơm ngon ạ.,recommended,positive
7498167,Cơm ngon lắm 😊😊,Cơm ngon lắm 😊😊,recommended,positive
6911738,"cơm ngon, lân sau sẽ mua tiếp","cơm ngon, lần sau sẽ mua tiếp",recommended,positive
8885257,"Ngon nghe, hồi tui ghé tui mua or tui đặt ăn típ","Ngon nghe, hồi tui ghé tui mua hoặc tui đặt ăn típ",recommended,positive
8634618,Ngon nhiều bạn mình rất thích,Ngon nhiều bạn mình rất thích,recommended,positive
8631774,"ngon nhức nách , sẽ mua lại","ngon nhức nách , sẽ mua lại",recommended,positive
8461130,quá ngon.quá đáng tiền.đỉnh,quá ngon.quá đáng tiền.đỉnh,recommended,positive
7953363,"Ngon, vừa ăn","Ngon, vừa ăn",recommended,positive
7904392,"Vừa ăn, oke","Vừa ăn, oke",recommended,positive
7777103,Vừa ăn oke,Vừa ăn oke,recommended,positive
7008741,rất ngon ạ :*,rất ngon ạ :*,recommended,positive
8887690,thang điểm 10 là không đủ. 101 điểm,thang điểm 10 là không đủ. 101 điểm,recommended,positive
8832018,"Bánh canh nóng hổi ngon lắm luôn, lần sau sẽ ủng hộ quán tiếp ạh","Bánh canh nóng hổi ngon lắm luôn, lần sau sẽ ủng hộ quán tiếp ạh",recommended,positive
8821774,"bánh canh rất ngon luôn , lần sau mình sẽ mua và giới thiệu bạn bè , nóng hổi , ngon , giá rẻ","bánh canh rất ngon luôn , lần sau mình sẽ mua và giới thiệu bạn bè , nóng hổi , ngon , giá rẻ",recommended,positive
8775263,"Dỡ nha ,tô đặt biệt mà chỉ có sương thôi qua tệ","Dỡ nha ,tô đặt biệt mà chỉ có sương thôi quá tệ",recommended,positive
8718304,ngonnnnnnnnnnnnnnnn lắmmmmmmmmbbb ajjjjj,ngon lắm ạ,recommended,positive
8713064,ngon và đáng tiền,ngon và đáng tiền,recommended,positive
8685136,món ngon nhiều mà rẻ,món ngon nhiều mà rẻ,recommended,positive
8637254,"bánh canh ngon, đặt chả cá mà hết nên hơi tiếc","bánh canh ngon, đặt chả cá mà hết nên hơi tiếc",recommended,positive
8550229,ngon lém nhaaa,ngon lém nhaaa,recommended,positive
8517420,món ngon và rẻ,món ngon và rẻ,recommended,positive
8499610,ngon lắm nhaa,ngon lắm nhaa,recommended,positive
8487971,Ngon nha mua vài lần rồi nchung là ok,Ngon nha mua vài lần rồi nói chung là ok,recommended,positive
8459379,ngonnnnnnnn lắm  ạ.,ngonnnnnnnn lắm  ạ.,recommended,positive
8452502,ngon lắm luôn ý,ngon lắm luôn ý,recommended,positive
8430394,ngon rẻ ❤️❤️❤️❤️❤️❤️ ảnh mang tc minh hoạ.,ngon rẻ ❤️❤️❤️❤️❤️❤️ ảnh mang tc minh hoạ.,recommended,positive
8369801,"Bánh canh ngon, giá rẻ","Bánh canh ngon, giá rẻ",recommended,positive
8336896,ảnh mang tính chất minh họa. ngon nha mn.❤️❤️❤️❤️❤️,ảnh mang tính chất minh họa. ngon nha mn.❤️❤️❤️❤️❤️,recommended,positive
8315663,bánh canh ngon,bánh canh ngon,recommended,positive
8310557,Ngon bổ rẻ,Ngon bổ rẻ,recommended,positive
8301685,"ngon, bổ, rẻ. ( ảnh minh họa thôi ạ)🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰","ngon, bổ, rẻ. ( ảnh minh họa thôi ạ)🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",recommended,positive
8291244,ngon lắm mua nhìu r,ngon lắm mua nhìu r,recommended,positive
8164588,ngon tóa tóa tóa,ngon tóa tóa tóa,recommended,positive
8148694,đặt cũng gần chục lần :b ngon lắm nha,đặt cũng gần chục lần :b ngon lắm nha,recommended,positive
8124816,"Ngon, nhiều mà hơi nhiều nước","Ngon, nhiều mà hơi nhiều nước",recommended,positive
8090939,"bánh canh ngon, tuyệt","bánh canh ngon, tuyệt",recommended,positive
8065799,"ngon,giá cả phù hợp","ngon,giá cả phù hợp",recommended,positive
8055018,ngon nhé mua vài lần rồi,ngon nhé mua vài lần rồi,recommended,positive
7946672,"Đặt ở qán nhìu lần rồi, bánh canh ngon, nấu vừa ăn, hnay m đặt tô có 16k mà đc cho thêm 2 quả trứng cút nữa :)))","Đặt ở quán nhìu lần rồi, bánh canh ngon, nấu vừa ăn, hôm nay m đặt tô có 16k mà đc cho thêm 2 quả trứng cút nữa :)))",recommended,positive
7839393,ngon nhứt nách. thêm shiper chu đáo nựa 🥰,ngon nhứt nách. thêm shiper chu đáo nựa 🥰,recommended,positive
7800978,ngon lắm nhé,ngon lắm nhé,recommended,positive
7641596,ngon lắm ạ,ngon lắm ạ,recommended,positive
7617367,"ngon, sạch, đầy đủ","ngon, sạch, đầy đủ",recommended,positive
7616709,ngon lắm quán👍,ngon lắm quán👍,recommended,positive
7606741,ok ngon .,ok ngon .,recommended,positive
7501286,ngon lắm ạ,ngon lắm ạ,recommended,positive
7457736,rẻ mà ngon,rẻ mà ngon,recommended,positive
7404144,"Nước dùng ngon, đậm đà 👍","Nước dùng ngon, đậm đà 👍",recommended,positive
7398622,ngon miễn bàn 🤣,ngon miễn bàn 🤣,recommended,positive
7277454,Ngon khỏi chê ⭐️⭐️⭐️⭐️⭐️,Ngon khỏi chê ⭐️⭐️⭐️⭐️⭐️,recommended,positive
7192184,bánh canh ngon,bánh canh ngon,recommended,positive
7124333,"bánh canh ngon, vừa ăn.","bánh canh ngon, vừa ăn.",recommended,positive
7120197,ngon và rất vừa miệng,ngon và rất vừa miệng,recommended,positive
7106111,"Bánh canh ngon, nước vị yêu thích trong các quán","Bánh canh ngon, nước vị yêu thích trong các quán",recommended,positive
7035155,"Bánh canh cá nục quán này ngon á mn, đây là lần đầu tiên mình order nhưng có vẻ lần sau sẽ ordee tiếp á hihi.. chỉ là quán cho nước hơi nhiều quá so với bánh. Nhưng oke ngon","Bánh canh cá nục quán này ngon á mn, đây là lần đầu tiên mình order nhưng có vẻ lần sau sẽ order tiếp á hihi.. chỉ là quán cho nước hơi nhiều quá so với bánh. Nhưng oke ngon",recommended,positive
6981869,ngonnn lắm á,ngonnn lắm á,recommended,positive
6968322,"Quán chuẩn bị đồ ăn nhanh, sạch sẽ và rất ngon ❤️","Quán chuẩn bị đồ ăn nhanh, sạch sẽ và rất ngon ❤️",recommended,positive
6946033,Ngon. Nên thử đó cả nhà.,Ngon. Nên thử đó cả nhà.,recommended,positive
6941202,Ngonnn lắm ạ,Ngonnn lắm ạ,recommended,positive
6937246,"ngon, bánh quẩy giòn","ngon, bánh quẩy giòn",recommended,positive
6935454,"lần nào ăn cũng ngon tuyệt lun í😋😋😍😍 Nay nhiều cá, nhiều chả cực 😍 nước ngọt thơm😍","lần nào ăn cũng ngon tuyệt lun í😋😋😍😍 Nay nhiều cá, nhiều chả cực 😍 nước ngọt thơm😍",recommended,positive
6932378,"Ngon tuyệt cú mèo, ăn lại thèm🤤","Ngon tuyệt cú mèo, ăn lại thèm🤤",recommended,positive
6930253,"đặt chả cá + cá nục mà ko thấyy cá nục đâu 😌 nhưng bù lại bánh canh ngon,thơm 😍 có bỏ bột lọc lọc theo yêu cầu😘","đặt chả cá + cá nục mà ko thấy cá nục đâu 😌 nhưng bù lại bánh canh ngon,thơm 😍 có bỏ bột lọc lọc theo yêu cầu😘",recommended,positive
6929723,bánh canh lúc nào cũng ngon hết,bánh canh lúc nào cũng ngon hết,recommended,positive
6928125,Ngon tuyệt vời luôn ạ🤩,Ngon tuyệt vời luôn ạ🤩,recommended,positive
6927108,"Ngon lắm ạ, nhưng em thích bột gạo hơn🙂","Ngon lắm ạ, nhưng em thích bột gạo hơn🙂",recommended,positive
6926574,Rất ngon . Hài lòng,Rất ngon . Hài lòng,recommended,positive
6919326,"ăn gần hết mói nhớ chưa chụp, bánh canh ngon, giao hàng nhanh","ăn gần hết mói nhớ chưa chụp, bánh canh ngon, giao hàng nhanh",recommended,positive
6918054,Rất hài lòng,Rất hài lòng,recommended,positive
6916932,ngon . .,ngon . .,recommended,positive
6913416,"bánh canh ngon, giá rẻ, giao hàng nhanh","bánh canh ngon, giá rẻ, giao hàng nhanh",recommended,positive
6912954,Bánh canh ngon,Bánh canh ngon,recommended,positive
6912145,bánh canh nhìu và ngon lắm nha,bánh canh nhiều và ngon lắm nha,recommended,positive
6910864,ok rất tốt,ok rất tốt,recommended,positive
6909529,Ok nha hihi,Ok nha hihi,recommended,positive
6905777,"bánh canh ở đây đúng ngon, rẻ.","bánh canh ở đây đúng ngon, rẻ.",recommended,positive
6905706,Ok con dê,Ok con dê,recommended,positive
6903697,Ngon xức sắccccc 😚,Ngon xức sắccccc 😚,recommended,positive
6903592,Ngon lắm nhe,Ngon lắm nhé,recommended,positive
6903586,Ngon lắm ạ,Ngon lắm ạ,recommended,positive
6899486,"nay quán quên bỏ ớt với chanh rồi, quẩy ngon mà rẻ quá. ko biết quán có bột gạo hoặc bột mì ko nhỉ, bột lọc mình ko hay ăn ^^","nay quán quên bỏ ớt với chanh rồi, quẩy ngon mà rẻ quá. không biết quán có bột gạo hoặc bột mì không nhỉ, bột lọc mình không hay ăn ^^",recommended,positive
6898133,"Món banh canh ngon, vừa miệng mà giá cả thì rẻ","Món banh canh ngon, vừa miệng mà giá cả thì rẻ",recommended,positive
6898125,"bánh canh ngon, có gia vị ớt chanh, tô muỗng đủ. good quán","bánh canh ngon, có gia vị ớt chanh, tô muỗng đủ. good quán",recommended,positive
6913851,Từ nay có thêm quán yêu thích,Từ nay có thêm quán yêu thích,recommended,positive
8492550,"ăn quán nhiều lần r, ok hết 👍","ăn quán nhiều lần rồi, ok hết 👍",recommended,positive
7875183,"ngon xuất sắc mà hết bún cá ngừ mất tiêu, hôm sau sẽ đặt sớm","ngon xuất sắc mà hết bún cá ngừ mất tiêu, hôm sau sẽ đặt sớm",recommended,positive
7755947,"đồ ăn ngon, shiper nhiệt tình 🥰","đồ ăn ngon, shipper nhiệt tình 🥰",recommended,positive
7720061,phục vụ tốt,phục vụ tốt,recommended,positive
7462630,"Ngon, hợp khẩu vị với mình.","Ngon, hợp khẩu vị với mình.",recommended,positive
7264747,"Giao nhanh , ok","Giao nhanh , ok",recommended,positive
7261125,Trời mưa ăn cay cay đã quá ah,Trời mưa ăn cay cay đã quá ah,recommended,positive
7220809,"m ít khi đánh giá nhưng mà tô bún so với giá 20k thì quá ok la luôn í, tô m size to mà đổ ra đầy nhốc luôn í, tô 6 miếng chả lận, nói chung là ngon 5💫 nha","mình ít khi đánh giá nhưng mà tô bún so với giá 20k thì quá ok la luôn í, tô m size to mà đổ ra đầy nhốc luôn í, tô 6 miếng chả lận, nói chung là ngon 5💫 nha",recommended,positive
7129654,"Ăn rất nhiều lần ở quán nhưng hương vị vẫn ngon như lần đầu, tuy dịch phải ship mà quán vẫn rất chu đáo","Ăn rất nhiều lần ở quán nhưng hương vị vẫn ngon như lần đầu, tuy dịch phải ship mà quán vẫn rất chu đáo",recommended,positive
6989261,"rất ngon, đậm vị","rất ngon, đậm vị",recommended,positive
6975046,ngon rẻ nhìu,ngon rẻ nhiều,recommended,positive
6935094,"Bún nhiều, nước dùng đậm đà sạch sẽ. Ngon Rất hài lòng 😀","Bún nhiều, nước dùng đậm đà sạch sẽ. Ngon Rất hài lòng 😀",recommended,positive
6929992,Rất hài lòng,Rất hài lòng,recommended,positive
6924139,"Tài xế rất chu đáo,xin thứ lỗi vì sự đánh giá chậm trễ này","Tài xế rất chu đáo,xin thứ lỗi vì sự đánh giá chậm trễ này",recommended,positive
6915788,"món ngon, siêu nhiều .Tuyệt vời","món ngon, siêu nhiều .Tuyệt vời",recommended,positive
6915027,ngon lắm ạ,ngon lắm ạ,recommended,positive
6909601,ngon:_ok đó|_ bữa sau đặt ti33ps,ngon:_ok đó|_ bữa sau đặt tiếp,recommended,positive
6906265,ngon lắm ạ,ngon lắm ạ,recommended,positive
6785618,Bún rất ngon,Bún rất ngon,recommended,positive
6776386,"hài lòng lắm
","hài lòng lắm
",recommended,positive
6770240,Rất hài lòng,Rất hài lòng,recommended,positive
6757727,"bún chả cá ngon
lắm nha","bún chả cá ngon
lắm nha",recommended,positive
6741552,ngon ngon ngon,ngon ngon ngon,recommended,positive
8708811,rất nê thử sạch sẽ ngon,rất nê thử sạch sẽ ngon,recommended,positive
8382784,"Cơm ngon, canh ngọt. Nên mua","Cơm ngon, canh ngọt. Nên mua",recommended,positive
8150861,hầu như ngày nào minh cũng ăn.vì quá ngon.,hầu như ngày nào minh cũng ăn.vì quá ngon.,recommended,positive
8097572,"đã đặc của quán rất nhiều lần rồi
đủ no ngon và quán luôn cho tô nhựa dù mìn ko cần","đã đặc của quán rất nhiều lần rồi
đủ no ngon và quán luôn cho tô nhựa dù mình ko cần",recommended,positive
8011949,"Đây là quán mình thấy ngon nhất , đầy đủ nhất và không nghĩ rẻ tới vậy. Không phàn nàn gì luôn. Ko hết lời khen. Đa số quán nào ăn cũng ko thêm đầy đủ đâu, quán này chăm khách đến từng cây tăm, rất rất sạch và hài hài lòng.","Đây là quán mình thấy ngon nhất , đầy đủ nhất và không nghĩ rẻ tới vậy. Không phàn nàn gì luôn. Không hết lời khen. Đa số quán nào ăn cũng không thêm đầy đủ đâu, quán này chăm khách đến từng cây tăm, rất rất sạch và hài hài lòng.",recommended,positive
7610522,đồ ăn ok nc dùng nhạt,đồ ăn ok nước dùng nhạt,recommended,positive
7322915,ăn ngon cần cải thiện nc dùng,ăn ngon cần cải thiện nước dùng,recommended,positive
7275820,"ngon, vó điều nc dùng lạc","ngon, có điều nước dùng nhạt",recommended,positive
8553713,chân gà mềm ngon và quán có tặng thêm bao tay để ăn rất chu đáo sẽ ủng hộ shop thêm,chân gà mềm ngon và quán có tặng thêm bao tay để ăn rất chu đáo sẽ ủng hộ shop thêm,recommended,positive
8491554,"món ăn ngon, đặt nhiều lần quá ưng ý","món ăn ngon, đặt nhiều lần quá ưng ý",recommended,positive
8484777,"ngon ngon ngon, tuyệt vời 😍","ngon ngon ngon, tuyệt vời 😍",recommended,positive
8460885,ngon mà rẻ,ngon mà rẻ,recommended,positive
8454167,tương ớt ngon,tương ớt ngon,recommended,positive
8173895,ngon. chủ quán nhiệt tình,ngon. chủ quán nhiệt tình,recommended,positive
8144032,Ngon quá ạ,Ngon quá ạ,recommended,positive
7984017,"đặt lần t4 , hình thức thì khỏi phải bàn . chân gà xả tắc cũng ngon nhưng mình thấy sốt thái ngon hơn","đặt lần thứ 4 , hình thức thì khỏi phải bàn . chân gà xả tắc cũng ngon nhưng mình thấy sốt thái ngon hơn",recommended,positive
7942576,"quá ngon , lại đóng gói đẹp , cho mình thêm bao tay nữa , đặt lần 2 rồi ,muốn thử món khác mà chân gà sốt thái ngon quá nên ăn hoài","quá ngon , lại đóng gói đẹp , cho mình thêm bao tay nữa , đặt lần 2 rồi ,muốn thử món khác mà chân gà sốt thái ngon quá nên ăn hoài",recommended,positive
7924657,sốt oke luôn,sốt oke luôn,recommended,positive
7885966,cóc với xoài ngon phết 🤣🤣🤣,cóc với xoài ngon phết 🤣🤣🤣,recommended,positive
8792949,Siu ngon.. nhăm nhăm 🫶🫶🫶,Siêu ngon.. nhăm nhăm 🫶🫶🫶,recommended,positive
8521341,Vị nhẹ nhàng 🥰,Vị nhẹ nhàng 🥰,recommended,positive
8440281,nước ngon nha,nước ngon nha,recommended,positive
8220515,"uống dc ,uống hết rùi nên ko chụp, ảnh minh hoạ","uống được ,uống hết rồi nên không chụp, ảnh minh hoạ",recommended,positive
8686561,"Package đẹp, cf ngon!","Package đẹp, coffee ngon!",recommended,positive
8534248,Ngonnn ạ quá ngon lun nhức nách ạ,Ngon ạ quá ngon luôn nhức nách ạ,recommended,positive
8526787,Cf ngon nhưng quên chụp ảnh lại mất tiêu,Coffee ngon nhưng quên chụp ảnh lại mất tiêu,recommended,positive
8522072,Ngày nào cucng uống ở đây thôi,Ngày nào cũng uống ở đây thôi,recommended,positive
8516329,Mình chỉ uống bạc xiuz ở đây là ưng nhất thôi,Mình chỉ uống bạc xỉu ở đây là ưng nhất thôi,recommended,positive
8466082,Cà phê ngon và béo ạ,Cà phê ngon và béo ạ,recommended,positive
8389800,Ngon  . Ship nhanh,Ngon  . Ship nhanh,recommended,positive
7893540,Cafe vừa miệng,Cafe vừa miệng,recommended,positive
7825832,Cafe với trà ngon nhma ít bữa em đặt lại cho em li trà size bự nghe :>,Cafe với trà ngon nhưng mà ít bữa em đặt lại cho em ly trà size bự nghe :>,recommended,positive
7558971,"Rất ngon, package sạch sẽ, cf đậm","Rất ngon, package sạch sẽ, coffee đậm",recommended,positive
7557742,"Rất thơm ngon , nên thử 1 lần","Rất thơm ngon , nên thử 1 lần",recommended,positive
7310166,Quá tuyết vời,Quá tuyết vời,recommended,positive
7309787,"cafe muối ngon béo, chị em uống rất hợp luôn, nên thử nha","cafe muối ngon béo, chị em uống rất hợp luôn, nên thử nha",recommended,positive
7247830,"Cafe ngon, đậm đặc, mua chai rất tiết kiệm và tiện lợi. Sẽ mua lại 👍👍","Cafe ngon, đậm đặc, mua chai rất tiết kiệm và tiện lợi. Sẽ mua lại 👍👍",recommended,positive
7247667,"cái lôg xinh, cà phê sánh, hợp với mình. mọi ngươi nên thử. ngon nha","cái lông xinh, cà phê sánh, hợp với mình. mọi ngươi nên thử. ngon nha",recommended,positive
7738046,"Đồ ăn ngon, giao hàng nhanh chóng","Đồ ăn ngon, giao hàng nhanh chóng",recommended,positive
8666100,"Cafe khoai môn này ngon, uống nhẹ giải khát mùa hè hợp lý.","Cafe khoai môn này ngon, uống nhẹ giải khát mùa hè hợp lý.",recommended,positive
8218828,Cà phê thơm và ngon lắm ạ. Sẽ đặt nhiều lần nữa,Cà phê thơm và ngon lắm ạ. Sẽ đặt nhiều lần nữa,recommended,positive
8258510,đồ en ngon,đồ ăn ngon,recommended,positive
7127659,ngon- sạch sẽ,ngon- sạch sẽ,recommended,positive
6974535,"Ăn xong r quên chụp nên lấy đỡ hình  món ăn của mình nấu hehe, đồ ăn ngon ạ","Ăn xong rồi quên chụp nên lấy đỡ hình  món ăn của mình nấu hehe, đồ ăn ngon ạ",recommended,positive
6855105,"Món ăn ngon lắm , hài lòng","Món ăn ngon lắm , hài lòng",recommended,positive
6795252,Ngon lắm ạ,Ngon lắm ạ,recommended,positive
8241810,"Đóng gói đẹp mắt,nước chấm ngon hơi mặn tí,rau ngon trứng ngon","Đóng gói đẹp mắt,nước chấm ngon hơi mặn tí,rau ngon trứng ngon",recommended,positive
8334790,shipped tận tình,shipped tận tình,recommended,positive
8224481,Lần này trân châu hơi cứng :(((,Lần này trân châu hơi cứng :(((,recommended,positive
7672405,Cháo ngon. Nếu quán có thêm món cháo không nữa thì tuyệt,Cháo ngon. Nếu quán có thêm món cháo không nữa thì tuyệt,recommended,positive
8374481,"Cà phê sữa SG bị ngọt quá, nhưng vị vẫn ngon","Cà phê sữa Sài Gòn bị ngọt quá, nhưng vị vẫn ngon",recommended,positive
8792514,ngon ngon ngon,ngon ngon ngon,recommended,positive
8597803,"Vừa rẻ vừa ngon, sẽ ủng hộ tiếp ạ","Vừa rẻ vừa ngon, sẽ ủng hộ tiếp ạ",recommended,positive
8389564,rất rất ngon,rất rất ngon,recommended,positive
8380253,Rất hầu lòng,Rất hài lòng,recommended,positive
8361333,"Oke,  bánh ngon","Oke,  bánh ngon",recommended,positive
7289845,"bánh mì giòn, nêm nếm oke, ngon","bánh mì giòn, nêm nếm oke, ngon",recommended,positive
7107737,"rất ngon,nhiều ,rất hài lòng","rất ngon,nhiều ,rất hài lòng",recommended,positive
6942353,Bánh mì ngon nóng giòn verry good👍,Bánh mì ngon nóng giòn very good👍,recommended,positive
8403047,"Ngon ghê á, cuối ngày còn có ly cà phê ngon, mát lòng mát dạ😍","Ngon ghê á, cuối ngày còn có ly cà phê ngon, mát lòng mát dạ😍",recommended,positive
6903970,"Lần đầu tiên đặt nhưng thật sự rất hài lòng luôn, bún nhiều, toping cũng nhiều nè, rất ngon luôn, quán còn chu đáo cho viên kẹo nữa","Lần đầu tiên đặt nhưng thật sự rất hài lòng luôn, bún nhiều, topping cũng nhiều nè, rất ngon luôn, quán còn chu đáo cho viên kẹo nữa",recommended,positive
8861781,tài xế chu đáo,tài xế chu đáo,recommended,positive
8268166,"Làm đồ ăn nhanh, phần nhỏ 35k nhưng nhiều, xin nhiều mắm vẫn cho ạ","Làm đồ ăn nhanh, phần nhỏ 35k nhưng nhiều, xin nhiều mắm vẫn cho ạ",recommended,positive
8037202,"mắm ngon, bún thì verry nhiều, ăn no luôn ấy, nói chung là tuyệt vời, lần sau tui sẽ ủng hộ quán tiếp👏👏","mắm ngon, bún thì very nhiều, ăn no luôn ấy, nói chung là tuyệt vời, lần sau tui sẽ ủng hộ quán tiếp👏👏",recommended,positive
7232919,ngon nóng hổi đậu,ngon nóng hổi đậu,recommended,positive
7232022,"ngon lắm á, đặt lần r nay đặt lại","ngon lắm á, đặt lần rồi nay đặt lại",recommended,positive
7216046,ngon lắm luôn,ngon lắm luôn,recommended,positive
7158814,ăn ngon xĩu,ăn ngon xỉu,recommended,positive
7065976,ngonnn 5 saooo,ngon 5 sao,recommended,positive
6845926,"ngon,  sạch sẽ","ngon,  sạch sẽ",recommended,positive
6800004,"Bún ngon, đậu còn nóng hổi . Món ăn tuyệt vời","Bún ngon, đậu còn nóng hổi . Món ăn tuyệt vời",recommended,positive
6779074,"rất hài lòng
","rất hài lòng
",recommended,positive
6776851,Rất ngon và rất nhiều,Rất ngon và rất nhiều,recommended,positive
6813476,Rất ngon nha,Rất ngon nha,recommended,positive
6812707,Bánh lọc ở đây thì ngon lâu giờ rồi,Bánh lọc ở đây thì ngon lâu giờ rồi,recommended,positive
6796694,"Bánh lọc ở đây từ hồi còn đi học thường hay đi ăn với mấy đứa bạn, bánh lọc rất ngon. nhưng mà 10k 6cái thì hơi ít.","Bánh lọc ở đây từ hồi còn đi học thường hay đi ăn với mấy đứa bạn, bánh lọc rất ngon. nhưng mà 10k 6cái thì hơi ít.",recommended,positive
6795696,Bánh lọc ngon,Bánh lọc ngon,recommended,positive
6795635,Bánh lọc rất ngon,Bánh lọc rất ngon,recommended,positive
6795585,Bánh lọc rất ngon,Bánh lọc rất ngon,recommended,positive
8432531,Shipper dễ thương,Shipper dễ thương,recommended,positive
8071730,bun rất la Ngon OK quan,bún rất là Ngon OK quán,recommended,positive
7707959,"bun rất ngon, mam rất dam da","bún rất ngon, mắm rất đậm đà",recommended,positive
8789365,Ngon tuyệt nha ...sẽ ủng hộ tiếpp,Ngon tuyệt nha ...sẽ ủng hộ tiếp ,recommended,positive
8789209,"Quá hài Lòng - Nước Ngon mà lại rẻ
ship cực nhanh - Qá ok - Sẽ tiếp tục ủng hộ","Quá hài Lòng - Nước Ngon mà lại rẻ
ship cực nhanh - Quá ok - Sẽ tiếp tục ủng hộ",recommended,positive
6834680,Quán ăn ngon chuẩn cơm mẹ nấu💯👍🏻,Quán ăn ngon chuẩn cơm mẹ nấu💯👍🏻,recommended,positive
8087450,Rất là ngon,Rất là ngon,recommended,positive
7970169,Perfect! Yummy! Good!,Perfect! Yummy! Good!,recommended,positive
7229086,rất ngon 😍,rất ngon 😍,recommended,positive
